model-1618151971,1618151981.131,0.6,0.2495,0.58,0.2496,0
model-1618151971,1618151981.328,0.4,0.2503,0.58,0.2498,0
model-1618151971,1618151981.536,0.2,0.2524,0.58,0.2493,0
model-1618151971,1618151981.757,1.0,0.2427,0.58,0.2488,0
model-1618151971,1618151981.953,0.4,0.253,0.58,0.2479,0
model-1618151971,1618151982.187,0.6,0.2466,0.58,0.2474,0
model-1618151971,1618151982.419,0.4,0.2537,0.58,0.2476,0
model-1618151971,1618151982.629,0.6,0.2477,0.58,0.2482,0
model-1618151971,1618151982.829,0.6,0.2476,0.58,0.2481,0
model-1618151971,1618151983.016,0.8,0.2418,0.58,0.2479,0
model-1618151971,1618151983.239,0.6,0.2471,0.58,0.2477,0
model-1618151971,1618151983.463,0.8,0.2398,0.58,0.2475,0
model-1618151971,1618151983.665,0.6,0.2462,0.58,0.247,0
model-1618151971,1618151983.848,0.6,0.2462,0.58,0.2471,0
model-1618151971,1618151984.066,0.4,0.2539,0.58,0.2475,0
model-1618151971,1618151984.267,0.6,0.2469,0.58,0.2476,0
model-1618151971,1618151984.508,0.6,0.2468,0.58,0.2475,0
model-1618151971,1618151984.706,0.4,0.2538,0.58,0.2476,0
model-1618151971,1618151984.922,0.8,0.2426,0.58,0.2482,0
model-1618151971,1618151985.107,0.6,0.2481,0.58,0.2485,0
model-1618151971,1618151985.34,0.4,0.2522,0.58,0.2485,0
model-1618151971,1618151985.544,0.2,0.2551,0.58,0.2488,0
model-1618151971,1618151985.754,0.4,0.2511,0.58,0.2493,0
model-1618151971,1618151985.937,0.4,0.2511,0.58,0.2491,0
model-1618151971,1618151986.156,0.6,0.2485,0.58,0.2487,0
model-1618151971,1618151986.371,0.4,0.2523,0.58,0.2484,0
model-1618151971,1618151986.603,0.2,0.2564,0.58,0.2484,0
model-1618151971,1618151986.793,0.4,0.252,0.58,0.2486,0
model-1618151971,1618151986.997,0.2,0.2561,0.58,0.2485,0
model-1618151971,1618151987.194,0.0,0.2624,0.58,0.2482,0
model-1618151971,1618151987.43,0.6,0.248,0.58,0.2485,0
model-1618151971,1618151987.626,0.8,0.2458,0.58,0.2489,0
model-1618151971,1618151987.818,0.4,0.2515,0.58,0.2489,0
model-1618151971,1618151988.004,0.2,0.2545,0.58,0.2489,0
model-1618151971,1618151988.221,0.4,0.2511,0.58,0.2492,0
model-1618151971,1618151988.52,0.8,0.2485,0.58,0.2496,0
model-1618151971,1618151988.763,0.6,0.2495,0.58,0.2495,0
model-1618151971,1618151988.968,0.4,0.2508,0.58,0.2494,0
model-1618151971,1618151989.185,0.2,0.2518,0.58,0.2495,0
model-1618151971,1618151989.373,0.2,0.252,0.58,0.2495,0
model-1618151971,1618151989.588,0.4,0.2507,0.58,0.2494,0
model-1618151971,1618151989.786,0.4,0.2506,0.58,0.2495,0
model-1618151971,1618151990.015,0.4,0.2504,0.58,0.2497,0
model-1618151971,1618151990.212,0.2,0.2502,0.42,0.2501,0
model-1618151971,1618151990.434,0.8,0.2499,0.42,0.25,0
model-1618151971,1618151990.627,0.6,0.2496,0.42,0.2503,0
model-1618151971,1618151990.839,0.4,0.2502,0.42,0.2501,0
model-1618151971,1618151991.047,1.0,0.2487,0.58,0.2498,0
model-1618151971,1618151991.257,0.6,0.2495,0.58,0.2496,0
model-1618151971,1618151991.445,0.4,0.2505,0.58,0.2496,0
model-1618151971,1618151991.653,0.6,0.2496,0.58,0.2497,0
model-1618151971,1618151991.855,0.8,0.2488,0.58,0.2497,0
model-1618151971,1618151992.085,0.2,0.2503,0.42,0.25,0
model-1618151971,1618151992.279,0.4,0.2508,0.42,0.2507,0
model-1618151971,1618151992.498,0.6,0.2486,0.42,0.2513,0
model-1618151971,1618151992.697,0.4,0.2515,0.42,0.2513,0
model-1618151971,1618151992.915,0.2,0.2556,0.42,0.2514,0
model-1618151971,1618151993.098,0.6,0.2491,0.58,0.2491,0
model-1618151971,1618151993.318,0.6,0.2484,0.58,0.249,0
model-1618151971,1618151993.553,0.4,0.2511,0.58,0.2491,0
model-1618151971,1618151993.784,0.6,0.249,0.58,0.2488,0
model-1618151971,1618151993.992,0.8,0.2438,0.58,0.2433,0
model-1618151971,1618151994.224,0.2,0.2566,0.58,0.2479,0
model-1618151971,1618151994.411,0.2,0.2525,0.58,0.2492,0
model-1618151971,1618151994.642,0.6,0.2491,0.58,0.2494,0
model-1618151971,1618151994.825,0.2,0.2516,0.58,0.2494,0
model-1618151971,1618151995.046,0.6,0.2496,0.44,0.2502,0
model-1618151971,1618151995.261,0.4,0.2506,0.44,0.2503,0
model-1618151971,1618151995.472,0.4,0.2512,0.44,0.2504,0
model-1618151971,1618151995.677,0.8,0.247,0.45,0.2506,0
model-1618151971,1618151995.908,0.6,0.2486,0.47,0.2502,0
model-1618151971,1618151996.103,0.8,0.2443,0.46,0.2507,0
model-1618151971,1618151996.344,0.8,0.2458,0.5,0.2475,0
model-1618151971,1618151996.55,0.4,0.3191,0.58,0.235,0
model-1618151971,1618151996.769,0.6,0.2462,0.6,0.2478,0
model-1618151971,1618151996.97,0.4,0.2505,0.58,0.2485,0
model-1618151971,1618151997.186,0.6,0.2497,0.47,0.25,0
model-1618151971,1618151997.389,0.4,0.2508,0.47,0.2499,0
model-1618151971,1618151997.609,0.4,0.2503,0.5,0.2486,0
model-1618151971,1618151997.847,0.4,0.2498,0.49,0.2486,0
model-1618151971,1618151998.073,1.0,0.2424,0.51,0.2472,0
model-1618151971,1618151998.272,0.4,0.2637,0.58,0.2379,0
